0)20,4871,[0, 1, 2, 3, 4, 5, 7, 8, 6]
1)20,4871,[0, 1, 2, 3, 4, 5, 8, 6, 7]
2)20,4871,[0, 1, 2, 3, 4, 6, 5, 8, 7]
3)20,4871,[0, 1, 2, 3, 4, 6, 7, 5, 8]
4)20,4871,[0, 1, 2, 3, 4, 6, 8, 7, 5]
5)20,4871,[0, 1, 2, 3, 4, 7, 5, 6, 8]
6)20,4871,[0, 1, 2, 3, 4, 7, 6, 8, 5]
7)20,4871,[0, 1, 2, 3, 4, 7, 8, 5, 6]
8)20,4871,[0, 1, 2, 3, 4, 8, 5, 7, 6]
9)20,4871,[0, 1, 2, 3, 4, 8, 6, 5, 7]
10)20,4871,[0, 1, 2, 3, 4, 8, 7, 6, 5]
11)20,4871,[0, 1, 2, 3, 5, 4, 6, 8, 7]
12)20,4871,[0, 1, 2, 3, 5, 4, 7, 6, 8]
13)20,4871,[0, 1, 2, 3, 5, 4, 8, 7, 6]
14)20,4871,[0, 1, 2, 3, 5, 6, 4, 7, 8]
15)20,4871,[0, 1, 2, 3, 5, 6, 7, 8, 4]
16)20,4871,[0, 1, 2, 3, 5, 6, 8, 4, 7]
17)20,4871,[0, 1, 2, 3, 5, 7, 4, 8, 6]
18)20,4871,[0, 1, 2, 3, 5, 7, 6, 4, 8]
19)20,4871,[0, 1, 2, 3, 5, 7, 8, 6, 4]
20)20,4871,[0, 1, 2, 3, 5, 8, 4, 6, 7]
21)20,4871,[0, 1, 2, 3, 5, 8, 6, 7, 4]
22)20,4871,[0, 1, 2, 3, 5, 8, 7, 4, 6]
23)20,4871,[0, 1, 2, 3, 6, 4, 5, 7, 8]
24)20,4871,[0, 1, 2, 3, 6, 4, 7, 8, 5]
